agent,game,seed,score,max_tile,moves,corner_occupancy,snake_score
Random,95,10094,1380,128,139,11.510791366906474,0.7270911085050829
Random,96,10095,680,64,92,2.1739130434782608,0.6698528919881201
Random,97,10096,1700,128,171,7.60233918128655,0.7056220322787468
Random,98,10097,1424,128,149,4.697986577181208,0.6791200190028231
Random,99,10098,1660,128,164,3.658536585365854,0.7043410086427153
Random,100,10099,1264,128,138,0.7246376811594203,0.6692618269243181
Greedy,1,10000,2456,256,212,3.30188679245283,0.673177261496796
Greedy,2,10001,3888,256,311,0.3215434083601286,0.6845885080893711
Greedy,3,10002,1464,128,148,4.054054054054054,0.6504312011350477
Greedy,4,10003,980,64,115,13.043478260869565,0.6759429077546515
Greedy,5,10004,1188,128,129,0.7751937984496124,0.6797278179707669
Greedy,6,10005,1268,128,129,1.550387596899225,0.654006801952972
Greedy,7,10006,1068,128,116,0.0,0.6495427652449367
Greedy,8,10007,1308,128,137,7.299270072992701,0.6724246624638635
Greedy,9,10008,1144,128,124,1.6129032258064515,0.6942691920333602
Greedy,10,10009,1684,128,168,0.0,0.6506062344583863
Greedy,11,10010,888,64,107,1.8691588785046729,0.6613304127059794
Greedy,12,10011,1336,128,137,1.4598540145985401,0.6777409874617201
Greedy,13,10012,1780,128,181,1.6574585635359116,0.6621853224263963
Greedy,14,10013,3076,256,254,0.3937007874015748,0.6704718445814147
Greedy,15,10014,1468,128,152,2.6315789473684212,0.6656253839676878
Greedy,16,10015,2776,256,228,0.8771929824561403,0.6590641465755245
Greedy,17,10016,844,64,100,9.0,0.6528346786305174
Greedy,18,10017,580,64,80,6.25,0.6814496913965453
Greedy,19,10018,1788,128,179,0.5586592178770949,0.6617566909403352
Greedy,20,10019,1712,128,177,0.0,0.6608481061733142
Greedy,21,10020,1240,128,127,1.5748031496062993,0.6377926569857723
Greedy,22,10021,2352,256,197,1.5228426395939085,0.6567027624951604
Greedy,23,10022,4656,512,324,1.8518518518518519,0.6793740187001397
Greedy,24,10023,1320,128,136,0.7352941176470589,0.652282989186974
Greedy,25,10024,888,64,107,0.9345794392523364,0.6482072064144084
Greedy,26,10025,5064,512,346,2.8901734104046244,0.6807302310324722
Greedy,27,10026,1444,128,149,4.026845637583893,0.6718972794765783
Greedy,28,10027,2708,256,225,1.3333333333333333,0.6750286694559673
Greedy,29,10028,1476,128,153,0.0,0.6851978205573566
Greedy,30,10029,1424,128,145,0.6896551724137931,0.661554467032615
Greedy,31,10030,1788,128,182,0.5494505494505495,0.6562387141941245
Greedy,32,10031,2176,256,179,1.675977653631285,0.6621710128712347
Greedy,33,10032,2160,256,183,3.278688524590164,0.6407433542792215
Greedy,34,10033,1260,128,130,0.7692307692307693,0.6418971221077799
Greedy,35,10034,1344,128,141,0.7092198581560284,0.6685060145231477
Greedy,36,10035,1424,128,146,1.36986301369863,0.6610360476549709
Greedy,37,10036,2816,256,234,1.7094017094017093,0.6491895778346874
Greedy,38,10037,3160,256,263,0.38022813688212925,0.6685665447123464
Greedy,39,10038,4492,512,301,0.9966777408637874,0.6680303627456945
Greedy,40,10039,1020,128,109,0.9174311926605505,0.633057803499838
Greedy,41,10040,1424,128,145,2.7586206896551726,0.6555473405214568
Greedy,42,10041,1824,128,175,4.571428571428571,0.6896242840137213
Greedy,43,10042,1480,128,148,1.3513513513513513,0.6669077401135572
Greedy,44,10043,2352,256,198,1.0101010101010102,0.6842940150572757
Greedy,45,10044,1388,128,142,0.704225352112676,0.6418946961507817
Greedy,46,10045,1220,128,123,1.6260162601626016,0.6549751196137265
Greedy,47,10046,1576,128,164,1.2195121951219512,0.6721055294891055
Greedy,48,10047,1184,128,129,0.7751937984496124,0.6694335899860989
Greedy,49,10048,2944,256,247,0.4048582995951417,0.6733280613341335
Greedy,50,10049,3492,256,292,6.8493150684931505,0.6698745419243199
Greedy,51,10050,1512,128,152,1.3157894736842106,0.6647643790010427
Greedy,52,10051,2408,256,203,0.9852216748768473,0.6638173800350818
Greedy,53,10052,1512,128,156,0.6410256410256411,0.6655191688017709
Greedy,54,10053,1320,128,137,1.4598540145985401,0.651106091546474
Greedy,55,10054,1340,128,138,1.4492753623188406,0.6509840902036708
Greedy,56,10055,3084,256,252,2.380952380952381,0.6825821230411775
Greedy,57,10056,2996,256,245,0.0,0.651665235152657
Greedy,58,10057,1096,64,127,0.0,0.6800389892401256
Greedy,59,10058,2376,256,197,4.060913705583756,0.6783961638089455
Greedy,60,10059,2124,256,180,1.1111111111111112,0.6547409555444451
Greedy,61,10060,2312,256,189,5.8201058201058204,0.6851739315630051
Greedy,62,10061,1436,128,148,4.054054054054054,0.6851498521031558
Greedy,63,10062,3244,256,274,6.569343065693431,0.6689505592375077
Greedy,64,10063,596,64,83,0.0,0.6360954949209577
Greedy,65,10064,1404,128,143,2.797202797202797,0.6424535746519424
Greedy,66,10065,2392,256,202,0.0,0.6689100834233741
Greedy,67,10066,2372,256,202,3.4653465346534653,0.657477436434993
Greedy,68,10067,2024,256,168,2.9761904761904763,0.6746711449449226
Greedy,69,10068,3056,256,249,0.40160642570281124,0.6624603880741473
Greedy,70,10069,2156,128,200,2.0,0.6781299013379897
Greedy,71,10070,2996,256,239,2.510460251046025,0.6824409124667226
Greedy,72,10071,1616,128,172,0.0,0.6631553915839038
Greedy,73,10072,1364,128,142,0.704225352112676,0.6565138516511272
Greedy,74,10073,2364,256,197,0.0,0.6742676621985016
Greedy,75,10074,1632,128,165,0.0,0.6724345028520091
Greedy,76,10075,1356,128,140,0.0,0.6488275834628626
Greedy,77,10076,1288,128,132,0.7575757575757576,0.666213561168389
Greedy,78,10077,3560,256,284,0.704225352112676,0.6736621465879219
Greedy,79,10078,2236,128,214,0.4672897196261682,0.6765207012730768
Greedy,80,10079,1392,128,139,1.4388489208633093,0.6674925068455554
Greedy,81,10080,1352,128,143,2.097902097902098,0.6424262141378256
Greedy,82,10081,1440,128,150,4.0,0.7008613373972241
Greedy,83,10082,3068,256,252,0.3968253968253968,0.6576109988914279
Greedy,84,10083,1480,128,151,0.6622516556291391,0.6645897861151513
Greedy,85,10084,1152,128,126,0.0,0.6514434550458708
Greedy,86,10085,2504,256,219,5.47945205479452,0.6695280978926273
Greedy,87,10086,940,64,115,13.043478260869565,0.6749544325526033
Greedy,88,10087,780,64,102,1.9607843137254901,0.6527143861188953
Greedy,89,10088,3112,256,251,0.796812749003984,0.6705771795007864
Greedy,90,10089,2032,256,169,4.1420118343195265,0.6725589904815643
Greedy,91,10090,2344,256,198,1.0101010101010102,0.6816351317246662
Greedy,92,10091,1556,128,162,2.4691358024691357,0.675341200395518
Greedy,93,10092,1512,128,161,1.8633540372670807,0.676643832599292
Greedy,94,10093,1288,128,132,2.272727272727273,0.6711349366704493
Greedy,95,10094,1208,128,121,0.0,0.6552611309036062
Greedy,96,10095,1284,128,133,4.511278195488722,0.6570640652322839
